admcd	admnm	lon	lat
1100000000	서울특별시	126.99	37.55
1111000000	서울특별시 종로구	126.968	37.599
1111051000	서울특별시 종로구 청운동	126.968	37.585
1111051500	서울특별시 종로구 청운효자동	126.968	37.585
1111052000	서울특별시 종로구 효자동	126.968	37.585
1111053000	서울특별시 종로구 사직동	126.97	37.574
1111054000	서울특별시 종로구 삼청동	126.982	37.586
1111055000	서울특별시 종로구 부암동	126.966	37.595
1111056000	서울특별시 종로구 평창동	126.969	37.614
1111057000	서울특별시 종로구 무악동	126.959	37.577
1111058000	서울특별시 종로구 교남동	126.964	37.571
1111060000	서울특별시 종로구 가회동	126.986	37.584
1111061500	서울특별시 종로구 종로1.2.3.4가동	126.993	37.578
1111063000	서울특별시 종로구 종로5.6가동	127.004	37.573
1111064000	서울특별시 종로구 이화동	127.003	37.58
1111065000	서울특별시 종로구 혜화동	127.0	37.587
1111066000	서울특별시 종로구 명륜3가동	126.999	37.585
1111067000	서울특별시 종로구 창신제1동	127.014	37.573
1111068000	서울특별시 종로구 창신제2동	127.01	37.576
1111069000	서울특별시 종로구 창신제3동	127.013	37.579
1111070000	서울특별시 종로구 숭인제1동	127.017	37.578
1111071000	서울특별시 종로구 숭인제2동	127.021	37.575
1114000000	서울특별시 중구	126.993	37.558
1114052000	서울특별시 중구 소공동	126.975	37.564
1114054000	서울특별시 중구 회현동	126.976	37.557
1114055000	서울특별시 중구 명동	126.986	37.562
1114057000	서울특별시 중구 필동	126.994	37.557
1114058000	서울특별시 중구 장충동	127.004	37.556
1114059000	서울특별시 중구 광희동	127.007	37.566
1114060000	서울특별시 중구 을지로3.4.5가동	126.998	37.566
1114060500	서울특별시 중구 을지로동	126.998	37.566
1114061000	서울특별시 중구 신당제1동	127.014	37.565
1114061500	서울특별시 중구 신당동	127.013	37.565
1114062000	서울특별시 중구 신당제2동	127.008	37.555
1114062500	서울특별시 중구 다산동	127.008	37.555
1114063000	서울특별시 중구 신당제3동	127.01	37.55
1114063500	서울특별시 중구 약수동	127.01	37.55
1114064000	서울특별시 중구 신당제4동	127.015	37.557
1114064500	서울특별시 중구 청구동	127.015	37.557
1114065000	서울특별시 중구 신당제5동	127.023	37.563
